Location,Country,Category,Visitors,Rating,Revenue actual (usd),Accommodation_Available
Kubzrkvsar,India,Nature,948853,1.32,"$8,438,838,000.00",Yes
Ahkuxhjzto,USA,Historical,813627,2.01,"$8,026,256,000.00",No
Dlrdytjfta,Brazil,Nature,508673,1.42,"$33,877,711,000.00",Yes
Dxmlzdgkhk,Brazil,Historical,623329,1.09,"$2,951,836,000.00",Yes
Wjccqlepnz,France,Cultural,124867,1.43,"$54,789,324,000.00",No
Ikdhvwfkrc,Egypt,Cultural,389886,2.19,"$94,341,134,000.00",Yes
Tkepctbqfy,China,Beach,416933,3.92,"$74,498,322,000.00",Yes
Tjmjpyunne,China,Historical,652046,2.50,"$79,617,202,000.00",Yes
Occopasiyj,Australia,Cultural,59309,4.10,"$58,898,855,000.00",Yes
Pxdjpyzteu,India,Adventure,319068,1.98,"$23,959,044,000.00",No
Ducljskbya,Australia,Urban,25568,4.20,"$94,132,046,000.00",Yes
Sqaayidkbd,China,Cultural,310407,1.76,"$15,273,482,000.00",Yes
Jtzrdavvxi,Australia,Urban,767695,1.06,"$65,315,424,000.00",No
Fxedocmpsk,Egypt,Adventure,797939,2.21,"$59,351,854,000.00",No
Nstgmvrdsm,Australia,Nature,677168,3.41,"$98,941,673,000.00",Yes
Symhnxnkxf,Australia,Beach,520163,3.63,"$655,603,000.00",Yes
Vysitomfmb,Brazil,Historical,418753,2.98,"$77,648,265,000.00",No
Hfhhwncgcg,Australia,Nature,412795,1.34,"$1,335,238,000.00",Yes
Rwukkcgubw,China,Beach,96904,4.65,"$83,611,432,000.00",Yes
Eadwehxmav,France,Beach,73266,1.15,"$20,561,981,000.00",Yes
Fbnhcwbuah,India,Cultural,323378,4.36,"$65,853,604,000.00",No
Gthgxbhvir,India,Urban,324508,3.45,"$32,244,449,000.00",Yes
Avfdqwruby,France,Adventure,362929,4.33,"$82,292,871,000.00",No
Vvjakocsxq,Egypt,Cultural,3127,1.21,"$99,533,937,000.00",No
Jrkumjemsa,France,Urban,788932,3.60,"$32,944,558,000.00",Yes
Qhzrnejjep,India,Urban,772355,4.24,"$7,618,173,000.00",Yes
Sbnlxmzjsk,Australia,Cultural,802317,1.87,"$11,195,555,000.00",Yes
Baqdnvciwi,Egypt,Urban,394910,1.17,"$66,939,649,000.00",No
Qzyrstomct,USA,Urban,855061,2.26,"$44,412,587,000.00",Yes
Yayknhtatn,India,Urban,383698,3.67,"$82,988,819,000.00",No
Xsijemvocy,USA,Adventure,971260,3.86,"$35,594,311,000.00",Yes
Ttydrtsfbs,China,Beach,901898,4.97,"$64,690,809,000.00",Yes
Dyfxziubhr,China,Historical,864679,3.90,"$41,738,106,000.00",Yes
Fkvfnjavgn,China,Cultural,758884,2.16,"$80,023,958,000.00",No
Hvfwkrzsrj,China,Beach,115125,1.07,"$93,312,688,000.00",No
Wqxviwotla,USA,Cultural,834414,2.81,"$37,350,621,000.00",Yes
Ihdyrxbzdf,India,Nature,490207,2.58,"$26,727,935,000.00",Yes
Ynxoosnhwp,India,Adventure,805195,2.14,"$29,658,473,000.00",No
Vwujdinaxv,India,Historical,472874,3.05,"$12,589,377,000.00",Yes
Wplmlpwpvy,Egypt,Nature,536667,2.84,"$3,649,539,000.00",No
Mehiivzxug,USA,Adventure,117254,3.74,"$74,283,059,000.00",Yes
Fhfoaeauxm,Egypt,Urban,909638,2.25,"$74,176,458,000.00",No
Foegdmzlus,Egypt,Beach,942659,3.40,"$41,298,776,000.00",Yes
Conjmyweuv,Brazil,Beach,290650,2.26,"$1,817,364,000.00",No
Zxfckatayt,France,Beach,720785,1.16,"$30,137,015,000.00",Yes
Gsgqjyjgbm,India,Nature,677699,3.24,"$50,000,744,000.00",Yes
Jxkzcfgjup,China,Cultural,229338,1.90,"$36,328,419,000.00",Yes
Owwgrpsenj,Egypt,Urban,574387,3.55,"$92,524,219,000.00",Yes
Yiipqbnkqh,Australia,Urban,232327,2.40,"$40,097,782,000.00",No
Jjzzqkeujc,France,Cultural,643212,1.43,"$25,276,347,000.00",Yes
Auzczxlkiy,Australia,Cultural,812741,3.32,"$89,744,941,000.00",Yes
Jcpyawztgg,Australia,Historical,825993,3.82,"$62,181,392,000.00",No
Giyurimcwn,Australia,Adventure,950658,2.93,"$80,913,085,000.00",No
Bizzbrnqfu,India,Nature,589849,4.82,"$5,986,933,000.00",Yes
Yqjxbibwni,Egypt,Cultural,689575,1.10,"$33,692,519,000.00",No
Suufrnakis,Brazil,Historical,328287,2.00,"$75,116,068,000.00",Yes
Ngxdapowix,Australia,Urban,878392,4.30,"$82,147,141,000.00",No
Asiawbjfaf,Egypt,Cultural,171913,3.78,"$54,487,612,000.00",Yes
Fhnxevwlfg,Australia,Historical,877034,1.01,"$48,797,182,000.00",Yes
Lpidmammxd,France,Urban,624967,1.40,"$87,852,696,000.00",No
Uureuytbay,France,Beach,958216,2.84,"$9,385,402,000.00",No
Lwwmbwfoxa,Brazil,Nature,343668,4.89,"$59,936,961,000.00",Yes
Bmwiwukuus,China,Urban,833742,4.30,"$34,741,533,000.00",No
Ogbbtyfewa,India,Cultural,811018,1.50,"$30,365,103,000.00",Yes
Tyjakdclzk,Egypt,Adventure,655732,1.96,"$35,459,003,000.00",No
Vdtahdliyw,Australia,Adventure,765094,4.73,"$8,088,025,000.00",Yes
Nnrhzzrtgr,India,Urban,220510,4.96,"$27,044,289,000.00",No
Attarzjpbe,France,Cultural,705398,4.16,"$876,954,000.00",No
Zzkcxafoxv,Australia,Urban,847800,1.91,"$20,647,488,000.00",Yes
Dtriotxlot,Egypt,Nature,843145,4.33,"$1,100,524,000.00",Yes
Vcoelitdbt,Brazil,Nature,453488,3.75,"$96,702,598,000.00",Yes
Sqaavqynzs,France,Historical,543762,2.77,"$18,332,489,000.00",No
Hbguuldger,Brazil,Urban,775117,2.16,"$16,035,245,000.00",No
Lzvwnabglw,China,Beach,626885,3.74,"$58,606,272,000.00",Yes
Cebsviqylz,Egypt,Adventure,149482,4.44,"$47,989,414,000.00",Yes
Rbwqteecpg,France,Historical,271788,3.67,"$73,650,094,000.00",No
Apbmlfjson,USA,Nature,476373,3.45,"$62,796,376,000.00",Yes
Gozxecnejc,USA,Nature,808255,1.00,"$62,727,004,000.00",Yes
Uhuqfzyzwb,Australia,Beach,926326,3.57,"$72,605,405,000.00",No
Rmaqyzxlmw,India,Nature,800659,1.87,"$57,743,642,000.00",No
Jwpvouvefb,USA,Nature,717709,2.80,"$19,332,316,000.00",No
Ztzyuxxcgg,Egypt,Urban,475758,4.54,"$5,956,148,000.00",No
Tqfdwwdhuo,Australia,Nature,808349,1.01,"$59,875,361,000.00",Yes
Azcsvesbea,China,Historical,719905,3.70,"$29,264,211,000.00",Yes
Exckyfufom,USA,Urban,722612,1.43,"$2,267,278,000.00",Yes
Mezfvxqqsx,USA,Cultural,705490,3.58,"$13,587,508,000.00",Yes
Bmsbmrelin,Australia,Cultural,802225,1.63,"$38,037,499,000.00",Yes
Pjiegyoaqf,France,Historical,783089,4.76,"$38,607,149,000.00",No
Zrvsaldpws,Egypt,Historical,466195,4.17,"$2,739,567,000.00",Yes
Yielbsufux,Australia,Urban,147619,3.94,"$43,577,378,000.00",Yes
Jdvgkzoskb,France,Adventure,738466,4.38,"$7,635,683,000.00",Yes
Smkajihvra,Egypt,Nature,34309,4.93,"$6,727,834,000.00",Yes
Zcdycqnemn,USA,Historical,44317,2.17,"$2,576,136,000.00",No
Zwkshywvru,Egypt,Cultural,351200,2.56,"$56,873,546,000.00",Yes
Itadgrqhhu,USA,Beach,859352,4.85,"$71,900,754,000.00",No
Hfthnfiqxp,France,Urban,405785,3.47,"$54,540,604,000.00",Yes
Pxvmvkxilw,Brazil,Historical,87323,3.28,"$82,880,443,000.00",Yes
Pagxlgqgug,India,Cultural,404119,1.48,"$35,806,905,000.00",Yes
Vleoemkdnz,India,Nature,8720,1.48,"$28,172,085,000.00",No
Zgwcxennfv,Australia,Beach,637337,4.78,"$95,972,569,000.00",No
Snnzfvrsfe,France,Nature,40594,3.89,"$89,756,952,000.00",No
Thktbdzsef,India,Cultural,778164,2.27,"$84,488,766,000.00",No
Sybnljfqme,Egypt,Beach,521645,2.30,"$45,330,954,000.00",No
Udtlbaamoi,USA,Cultural,220021,2.11,"$3,702,554,000.00",Yes
Nlpyckohga,India,Historical,945441,3.44,"$47,337,263,000.00",Yes
Eonkekjyxd,Australia,Beach,972818,3.61,"$1,870,961,000.00",No
Qtpgrxzuat,Australia,Cultural,521195,3.13,"$36,022,965,000.00",Yes
Owfvkkcqvw,Australia,Adventure,192563,4.69,"$12,140,103,000.00",Yes
Mjvsgqhpyx,France,Cultural,307691,3.68,"$51,606,767,000.00",No
Caisdejzzp,Egypt,Urban,77924,3.77,"$77,392,896,000.00",No
Uvqaryyqmi,USA,Adventure,432079,3.03,"$9,487,663,000.00",Yes
Ropdyobcoo,Australia,Beach,552406,4.20,"$4,218,897,000.00",Yes
Qnphvedynq,France,Cultural,103704,4.84,"$91,939,437,000.00",Yes
Yuonnpwvcl,Brazil,Nature,78496,2.61,"$80,344,883,000.00",No
Hwagviacsv,India,Beach,466796,3.62,"$17,920,855,000.00",Yes
Eknvyzhksv,France,Nature,824764,2.29,"$4,903,776,000.00",No
Rqfxrygooq,Australia,Beach,710118,4.24,"$18,433,174,000.00",No
Nyttfunjir,USA,Urban,685583,4.09,"$68,889,165,000.00",Yes
Geipacmdxm,Egypt,Nature,162564,3.97,"$73,005,998,000.00",No
Ykyunegoqn,Australia,Adventure,614983,1.23,"$41,056,119,000.00",No
Kccgbhbvbq,India,Cultural,952461,1.23,"$60,143,033,000.00",Yes
Bvwnpdjahs,Brazil,Cultural,240840,2.47,"$96,521,366,000.00",No
Muwmsubyll,Egypt,Adventure,186437,2.64,"$57,363,511,000.00",No
Tlrdolhdpl,Egypt,Beach,56971,3.37,"$42,458,956,000.00",Yes
Prfxirmpzi,Egypt,Nature,192516,4.01,"$61,321,249,000.00",No
Ljarrrbcrd,Australia,Historical,81186,1.85,"$70,495,007,000.00",No
Obfjgtgjis,China,Beach,186195,2.61,"$56,488,624,000.00",No
Wrzxepfvim,Egypt,Beach,780437,1.16,"$9,266,426,000.00",No
Zrkgcgqrpk,India,Adventure,778496,1.48,"$82,306,326,000.00",Yes
Qxqkbvlbiu,France,Urban,350952,1.03,"$35,803,782,000.00",Yes
Nlqrkdrhdr,USA,Cultural,985854,4.88,"$95,464,451,000.00",Yes
Untizmoyjj,USA,Nature,752607,2.97,"$12,687,198,000.00",No
Jkgyjiuiya,China,Cultural,494634,2.62,"$24,801,671,000.00",Yes
Hzokygpfps,Brazil,Urban,72822,2.93,"$28,681,485,000.00",Yes
Gumbtvdixx,Australia,Cultural,117577,4.28,"$78,962,419,000.00",Yes
Rwtizanomp,France,Nature,651039,3.02,"$68,467,849,000.00",Yes
Dvlhssquct,India,Cultural,217584,1.59,"$12,623,869,000.00",Yes
Uobtbubqch,Australia,Nature,205036,1.86,"$7,785,772,000.00",Yes
Mjcfjuidvk,India,Historical,686213,3.60,"$7,673,501,000.00",No
Zvydwkmfju,Brazil,Historical,727386,1.12,"$85,109,043,000.00",Yes
Bfboalacrw,Egypt,Urban,915810,3.51,"$69,010,439,000.00",Yes
Qnsdqshvaw,France,Cultural,914948,1.80,"$4,322,475,000.00",Yes
Vpnpwelncn,Brazil,Adventure,354395,1.53,"$9,994,541,000.00",Yes
Svvwbsrdyu,China,Adventure,363763,2.52,"$9,806,285,000.00",Yes
Qzytxhcxti,Egypt,Historical,309822,4.84,"$2,752,728,000.00",Yes
Xtkqsvygfn,Australia,Urban,286803,1.15,"$67,102,538,000.00",No
Uarxugueic,Brazil,Historical,909396,3.91,"$63,210,338,000.00",Yes
Bcvccyygnx,USA,Urban,628892,1.65,"$40,158,899,000.00",No
Jpoemfjpmc,China,Historical,616673,4.67,"$93,449,963,000.00",Yes
Qhrrskjigt,France,Beach,705070,1.67,"$46,280,875,000.00",Yes
Ocwyptjxtx,USA,Urban,49979,1.37,"$33,347,152,000.00",Yes
Pbhnhfdwjm,Brazil,Beach,736570,3.43,"$46,518,245,000.00",No
Vqbcmdvgtu,Egypt,Beach,384235,3.13,"$88,496,409,000.00",No
Lmadiomeei,USA,Cultural,936388,4.20,"$19,664,119,000.00",No
Vxiycbsqwg,France,Adventure,324369,1.85,"$1,218,401,000.00",No
Mocuvgzygv,India,Nature,29236,3.80,"$98,757,993,000.00",Yes
Penhofvfwo,China,Historical,739444,3.44,"$17,795,387,000.00",Yes
Gxxgfhfikt,USA,Adventure,516044,3.61,"$96,996,678,000.00",Yes
Quzqdbarjv,Australia,Nature,447371,2.87,"$57,951,992,000.00",No
Zbqvsxxdor,USA,Urban,234002,1.45,"$15,817,073,000.00",Yes
Lidedbcadp,Australia,Cultural,243162,2.58,"$29,084,365,000.00",Yes
Okgzgshtjb,Brazil,Historical,732658,3.96,"$69,868,684,000.00",Yes
Zaokxhaldt,India,Adventure,280691,1.52,"$40,542,551,000.00",Yes
Gdikabzpyj,Egypt,Cultural,566123,3.75,"$77,446,662,000.00",Yes
Ygihflopod,Brazil,Beach,8597,3.95,"$19,561,243,000.00",Yes
Tnesxxzfie,France,Nature,807290,4.54,"$45,812,063,000.00",No
Ocfsxjulgp,India,Historical,536932,3.66,"$9,093,216,000.00",No
Leaisfhxuv,China,Nature,388912,4.81,"$98,913,815,000.00",Yes
Bcczxhppig,Australia,Cultural,193106,3.51,"$68,900,752,000.00",No
Imsavknzrl,India,Urban,879602,1.79,"$33,793,183,000.00",Yes
Jelxylhhfg,Brazil,Urban,894805,4.74,"$49,416,935,000.00",No
Nvygueznxk,Egypt,Historical,348801,4.78,"$2,992,714,000.00",No
Elqxzqssqh,France,Historical,529052,2.97,"$97,302,271,000.00",Yes
